decimalLongitude,decimalLatitude,agricultural,built,coast,forest,other,sand/heather,water,wetland,main_habitat
5.65,50.75,1.7747000000000002,0.0568,0.0,0.0616,0.0582,0.0,0.4688,0.0,agricultural
5.7,50.75,9.9751,2.6012,0.0,0.9364,1.579,0.0,0.1626,0.0,agricultural
5.75,50.75,7.8027999999999995,0.8299,0.0,0.6983,0.4834,0.0,0.0018,0.0,agricultural
5.8,50.75,13.2636,1.1357,0.0,0.8595,0.6516000000000001,0.0,0.0045,0.0,agricultural
5.85,50.75,9.3689,0.5808,0.0,4.0774,0.8342,0.0252,0.0121,0.0,agricultural
5.9,50.75,12.671899999999999,1.1557,0.0,2.7182,0.972,0.002,0.0208,0.0,agricultural
5.95,50.75,9.5586,1.0596,0.0,4.0747,0.7072,0.0076,0.0245,0.0,agricultural
6.0,50.75,1.7444,1.517,0.0,0.5896,0.6602,0.0,0.010799999999999999,0.0,agricultural
5.6,50.8,0.10239999999999999,0.5286,0.0,0.0,0.2845,0.0,0.0002,0.0,built
5.65,50.8,4.1292,4.5244,0.0,1.3542,2.3728,0.0,1.4266,0.0,built
5.7,50.8,6.6417,7.6899,0.0,1.3237,2.935,0.0168,0.9941,0.0,built
5.75,50.8,14.1936,1.8585,0.0,2.0612999999999997,1.4714999999999998,0.0046,0.0088,0.0,agricultural
5.8,50.8,15.4973,2.2097,0.0,0.7969,1.0838,0.0,0.0114,0.0,agricultural
5.85,50.8,13.9838,1.9472,0.0,2.2328,1.3698000000000001,0.0,0.0633,0.0,agricultural
5.9,50.8,16.4985,1.1761,0.0,1.0053,0.8652,0.0,0.032100000000000004,0.0228,agricultural
5.95,50.8,12.4694,2.6564,0.0,1.5733,1.5123,0.0,0.0231,0.0012,agricultural
6.0,50.8,3.4232,2.553,0.0,0.2448,1.1805999999999999,0.0,0.023600000000000003,0.0,agricultural
5.6,50.85,0.3096,0.1704,0.0,0.0096,0.6459999999999999,0.0,0.0013,0.0,other
5.65,50.85,4.5755,4.6429,0.0,0.20720000000000002,2.4108,0.0,1.3966,0.2851,built
5.7,50.85,5.7956,8.4943,0.0,1.0897,3.6786,0.0,0.5183,0.0,built
5.75,50.85,12.030999999999999,2.6627,0.0,3.2169,1.6234,0.0,0.0423,0.0,agricultural
5.8,50.85,11.587,3.2916,0.0,2.7092,1.8927,0.0,0.0957,0.0,agricultural
5.85,50.85,13.7304,2.8619,0.0,1.2139,1.7161,0.0,0.0486,0.0055,agricultural
5.9,50.85,13.826199999999998,2.5874,0.0,1.1628,1.9404,0.0032,0.0451,0.0133,agricultural
5.95,50.85,5.4511,8.1804,0.0,1.8196,4.0362,0.0001,0.088,0.0022,built
6.0,50.85,2.6437,9.8354,0.0,2.1882,4.5741000000000005,0.0104,0.0696,0.0206,built
6.05,50.85,1.6777,5.9606,0.0,1.7071999999999998,1.901,0.0,0.22160000000000002,0.003,built
5.65,50.9,0.0387,0.0035,0.0,0.0,0.0785,0.0,0.14,0.0,water
5.7,50.9,4.2174,1.269,0.0,1.0381,0.6255000000000001,0.0,1.3237,0.0704,agricultural
5.75,50.9,8.3546,6.2953,0.0,1.408,3.2249,0.0,0.1855,0.0624,agricultural
5.8,50.9,13.5153,3.5405,0.0,0.8966999999999999,1.5759,0.0,0.0262,0.0016,agricultural
5.85,50.9,10.6315,4.0201,0.0,2.5873,2.1656999999999997,0.0,0.11900000000000001,0.0332,agricultural
5.9,50.9,6.518,8.4618,0.0,0.7222000000000001,3.7347,0.0,0.11739999999999999,0.0,built
5.95,50.9,1.7594,8.0114,0.0,3.3868,5.1838999999999995,0.8524,0.205,0.15919999999999998,built
6.0,50.9,2.6079,5.4618,0.0,2.5794,3.3763,0.631,0.0115,0.1101,built
6.05,50.9,3.5705,1.2631,0.0,0.8006000000000001,0.47209999999999996,0.0015,0.0285,0.0,agricultural
