Ship_ID,Hull_Integrity,Reactor_Power,Propulsion_Type,Ship_Class
7316814884,Operational,80.0,Ion Drive,Hauler
7316814758,Operational,80.0,Hyperdrive,Hauler
7316814989,Pristine,80.0,Hyperdrive,Hauler
7316743432,Pristine,80.0,Plasma Thruster,Hauler
7316356412,Operational,60.0,Ion Drive,Freighter
7316343444,Operational,80.0,Ion Drive,Hauler
7316304717,Pristine,60.0,Hyperdrive,Hauler
7316285779,Pristine,60.0,Plasma Thruster,Freighter
7316257769,Operational,60.0,Hyperdrive,Hauler
7316133914,Operational,80.0,Hyperdrive,Shuttle
7316130053,Critical,60.0,Ion Drive,Shuttle
7315816316,Pristine,60.0,Ion Drive,Shuttle
7315770394,Operational,,Hyperdrive,Hauler
7315756348,Pristine,100.0,Hyperdrive,Hauler
7315715960,Critical,300.0,Plasma Thruster,Hauler
7315379459,Pristine,80.0,Hyperdrive,Fighter
7315275975,Pristine,100.0,Plasma Thruster,Hauler
7315275942,Pristine,100.0,Solar Sail,Hauler
7315270785,Pristine,60.0,Graviton Beam,Hauler
7314910156,Pristine,60.0,Ion Drive,Hauler
7314854462,Pristine,100.0,Plasma Thruster,Hauler
7314811916,Pristine,80.0,Ion Drive,Explorer
7314811909,Pristine,60.0,Ion Drive,Hauler
7314584296,Pristine,80.0,Ion Drive,Hauler
7314584315,Pristine,40.0,Ion Drive,Shuttle
7314584322,Pristine,100.0,Ion Drive,Hauler
7314584291,Pristine,40.0,Solar Sail,Shuttle
7314560853,Critical,80.0,Nuclear Pulse,Hauler
7313857831,Operational,40.0,Ion Drive,Shuttle
7313857767,Operational,60.0,Ion Drive,Hauler
7313857701,Operational,60.0,Solar Sail,Hauler
7313406529,Operational,,Solar Sail,Shuttle
7313387888,Pristine,60.0,Solar Sail,Hauler
7313387902,Operational,80.0,Solar Sail,Hauler
7313337060,Pristine,80.0,Ion Drive,Hauler
7313319521,Pristine,,,Shuttle
7312858079,Pristine,100.0,Hyperdrive,Hauler
7312847466,Critical,80.0,,Freighter
7312824400,Pristine,100.0,Hyperdrive,Hauler
7312799035,Operational,,Plasma Thruster,Hauler
7312754093,Operational,80.0,Hyperdrive,Hauler
7312342653,Pristine,,Hyperdrive,Hauler
7312342811,Critical,300.0,Plasma Thruster,Hauler
7312337810,Operational,60.0,Hyperdrive,Hauler
7312313815,Pristine,60.0,Solar Sail,Explorer
7312144944,Operational,80.0,Ion Drive,Corvette
7311960895,Pristine,100.0,Solar Sail,Fighter
7311818339,Operational,60.0,Solar Sail,Corvette
7311818189,Pristine,60.0,Ion Drive,Explorer
7311818157,Pristine,,Solar Sail,Corvette
7311409434,Operational,60.0,,Hauler
7311351407,Pristine,60.0,Ion Drive,Shuttle
7311327726,Operational,60.0,Plasma Thruster,Hauler
7311310782,Pristine,,Ion Drive,Hauler
7310905283,Operational,40.0,,Shuttle
7310848060,Pristine,40.0,,Shuttle
7310803539,Pristine,40.0,Ion Drive,Shuttle
7310798664,Pristine,120.0,Ion Drive,Shuttle
7310644616,Critical,60.0,Ion Drive,Shuttle
7310383361,Operational,,Ion Drive,Corvette
7310332383,Pristine,60.0,Ion Drive,Corvette
7310308166,Pristine,180.0,Ion Drive,Corvette
7310276274,Pristine,60.0,Ion Drive,Corvette
7309876037,Pristine,,Ion Drive,Shuttle
7309828117,Pristine,80.0,Solar Sail,Explorer
7309827921,Operational,60.0,Ion Drive,Corvette
7309828053,Pristine,40.0,Solar Sail,Shuttle
7309798041,Critical,,Ion Drive,Shuttle
7309271051,Operational,60.0,Ion Drive,Shuttle
7309229548,Operational,60.0,,Corvette
7309192232,Pristine,,Ion Drive,Corvette
7309160821,Critical,40.0,Ion Drive,Shuttle
7308779719,Critical,240.0,Ion Drive,Hauler
7308779686,Pristine,80.0,Ion Drive,Hauler
7308745779,Operational,80.0,Ion Drive,Hauler
7308730136,Critical,240.0,Solar Sail,Hauler
7308365829,Pristine,60.0,Ion Drive,Shuttle
7308255063,Pristine,80.0,Ion Drive,Explorer
7308217002,Pristine,60.0,Ion Drive,Shuttle
7308216849,Pristine,60.0,Ion Drive,Explorer
7307730503,Critical,60.0,Ion Drive,Shuttle
7307218858,Pristine,180.0,Ion Drive,Explorer
7307164168,Operational,60.0,,Corvette
7307164193,Operational,60.0,Ion Drive,Explorer
7307142186,Operational,60.0,Ion Drive,Corvette
7306701617,Operational,40.0,Ion Drive,Shuttle
7306676175,Operational,40.0,,Shuttle
7306676124,Pristine,80.0,Solar Sail,Explorer
7306625443,Pristine,120.0,,Shuttle
7306407989,Operational,60.0,Plasma Thruster,Shuttle
7306259907,Critical,60.0,,Corvette
7306238443,Operational,60.0,Nuclear Pulse,Corvette
7306178510,Pristine,60.0,Ion Drive,Corvette
7306147932,Pristine,60.0,,Corvette
7306095627,Pristine,60.0,Ion Drive,Corvette
7305666455,Pristine,60.0,Ion Drive,Shuttle
7305631654,Pristine,40.0,Ion Drive,Shuttle
7305631581,Pristine,60.0,Ion Drive,Corvette
7305578496,Pristine,80.0,Ion Drive,Explorer
7305186870,Pristine,60.0,Ion Drive,Corvette
7305150035,Pristine,60.0,Solar Sail,Corvette
7305149985,Pristine,60.0,Ion Drive,Shuttle
7304785580,Critical,180.0,Ion Drive,Explorer
7304685581,Pristine,60.0,Solar Sail,Explorer
7304685502,Operational,60.0,Ion Drive,Explorer
7304646033,Pristine,60.0,Plasma Thruster,Corvette
7304645998,Pristine,100.0,Solar Sail,Hauler
7304184221,Pristine,40.0,Solar Sail,Shuttle
7304158673,Pristine,60.0,Ion Drive,Explorer
7304134738,Pristine,60.0,Ion Drive,Explorer
7304111898,Pristine,180.0,Ion Drive,Explorer
7303661415,Pristine,100.0,Solar Sail,Fighter
7303661350,Pristine,,Ion Drive,Corvette
7303606749,Pristine,40.0,Solar Sail,Shuttle
7303606702,Pristine,60.0,Graviton Beam,Corvette
7303236380,Operational,60.0,Ion Drive,Explorer
7303130875,Pristine,60.0,Ion Drive,Explorer
7303065930,Operational,60.0,Ion Drive,Explorer
7303065864,Pristine,60.0,Ion Drive,Corvette
7302597055,Operational,,,Shuttle
7302537601,Pristine,80.0,Ion Drive,Explorer
7302537532,Pristine,40.0,Ion Drive,Shuttle
7302327214,Pristine,40.0,Ion Drive,Explorer
7302286548,Pristine,60.0,Ion Drive,Corvette
7302108846,Operational,60.0,Ion Drive,Corvette
7302062793,Pristine,60.0,Ion Drive,Corvette
7302043460,Pristine,60.0,Solar Sail,Corvette
7302000016,Pristine,60.0,Ion Drive,Corvette
7301673626,Pristine,60.0,Solar Sail,Corvette
7301673609,Pristine,,Solar Sail,Shuttle
7301647209,Pristine,60.0,Ion Drive,Explorer
7301624602,Pristine,80.0,Ion Drive,Explorer
7316878036,Operational,40.0,,Freighter
7316874816,Operational,40.0,,Freighter
7316872263,Operational,180.0,Ion Drive,Speedster
7316871664,Operational,80.0,Ion Drive,Hauler
7316871204,Operational,150.0,Ion Drive,Corvette
7316870942,Critical,60.0,,Freighter
7316870516,Critical,60.0,,Freighter
7316870143,Operational,80.0,,Freighter
7316869910,Critical,,Solar Sail,Explorer
7316869708,Critical,40.0,Ion Drive,Speedster
7316869215,Operational,,Ion Drive,Speedster
7316868894,Critical,60.0,,Speedster
7316868562,Critical,40.0,Ion Drive,Speedster
7316868220,Critical,60.0,Ion Drive,Explorer
7316867506,Operational,80.0,Ion Drive,Explorer
7316853268,Critical,40.0,Plasma Thruster,Shuttle
7316852517,Critical,,Ion Drive,Speedster
7316846605,Critical,60.0,Ion Drive,Fighter
7316788498,Pristine,80.0,Hyperdrive,Hauler
7316788533,Critical,,Graviton Beam,Hauler
7316762099,Pristine,40.0,Graviton Beam,Corvette
7316735728,Critical,40.0,Ion Drive,Corvette
7316734951,Critical,80.0,Ion Drive,Freighter
7316711193,Operational,40.0,Ion Drive,Shuttle
7316707537,Critical,40.0,Ion Drive,Shuttle
7316702941,Critical,60.0,Ion Drive,Shuttle
7316695553,Critical,60.0,Ion Drive,Shuttle
7316694878,Critical,40.0,Plasma Thruster,Shuttle
7316694884,Pristine,40.0,Graviton Beam,Shuttle
7316694885,Pristine,40.0,Graviton Beam,Shuttle
7316694874,Pristine,40.0,Plasma Thruster,Shuttle
7316691449,Operational,40.0,Ion Drive,Shuttle
7316691442,Pristine,40.0,Ion Drive,Shuttle
7316686116,Pristine,60.0,Hyperdrive,Hauler
7316678016,Critical,40.0,,Shuttle
7316673788,Critical,40.0,Ion Drive,Shuttle
7316644188,Critical,40.0,Hyperdrive,Shuttle
7316643987,Critical,40.0,,Shuttle
7316643810,Critical,,Ion Drive,Shuttle
7316622592,Pristine,180.0,Ion Drive,Corvette
7316549537,Operational,40.0,Ion Drive,Shuttle
7316544266,Operational,80.0,Hyperdrive,Freighter
7316535686,Critical,60.0,Ion Drive,Corvette
7316482063,Critical,40.0,Plasma Thruster,Corvette
7316478418,Critical,120.0,,Corvette
7316471857,Critical,,,Explorer
7316469500,Pristine,40.0,Graviton Beam,Shuttle
7316429417,Critical,60.0,Ion Drive,Corvette
7316422333,Operational,80.0,Ion Drive,Hauler
7316419757,Critical,240.0,,Explorer
7316411064,Pristine,40.0,Plasma Hybrid,Shuttle
7316397515,Critical,60.0,Solar Sail,Corvette
7316396026,Operational,100.0,Hyperdrive,Hauler
7316395026,Operational,100.0,Hyperdrive,Hauler
7316393935,Operational,100.0,Hyperdrive,Hauler
7316384231,Critical,240.0,Ion Drive,Freighter
7316383863,Critical,40.0,Nuclear Pulse,Shuttle
7316368518,Operational,,Ion Drive,Hauler
7316349679,Pristine,100.0,Solar Sail,Hauler
7316337545,Operational,60.0,Ion Drive,Explorer
7316330293,Critical,60.0,Ion Drive,Corvette
7316328729,Critical,40.0,Ion Drive,Shuttle
7316307800,Pristine,120.0,Ion Drive,Shuttle
7316282669,Operational,180.0,Plasma Hybrid,Explorer
7316262914,Critical,80.0,Hyperdrive,Shuttle
7316244350,Critical,60.0,Ion Drive,Corvette
7316229137,Critical,40.0,Hyperdrive,Shuttle
7316213984,Critical,180.0,Ion Drive,Shuttle
7316187372,Critical,40.0,Ion Drive,Speedster
7316170760,Critical,80.0,Hyperdrive,Shuttle
7316163074,Pristine,40.0,Plasma Thruster,Shuttle
7316163069,Operational,40.0,Ion Drive,Shuttle
7316163057,Pristine,40.0,Ion Drive,Shuttle
7316163025,Pristine,,Graviton Beam,Shuttle
7316160104,Pristine,60.0,Hyperdrive,Hauler
7316160083,Operational,80.0,Hyperdrive,Shuttle
7316159423,Operational,40.0,Ion Drive,Shuttle
7316159405,Operational,40.0,Graviton Beam,Shuttle
7316142184,Operational,40.0,Nuclear Pulse,Shuttle
7316100915,Operational,60.0,Ion Drive,Fighter
7316065114,Operational,60.0,,Speedster
7316031977,Pristine,80.0,Hyperdrive,Freighter
7316018962,Critical,60.0,Ion Drive,Explorer
7316014990,Operational,40.0,Ion Drive,Shuttle
7316005652,Pristine,40.0,Graviton Beam,Shuttle
7315958516,Operational,40.0,Ion Drive,Explorer
7315946617,Critical,40.0,Solar Sail,Shuttle
7315946365,Critical,40.0,Ion Drive,Speedster
7315941653,Critical,80.0,,Corvette
7315938243,Critical,80.0,Hyperdrive,Shuttle
7315932100,Critical,80.0,Hyperdrive,Corvette
7315923364,Critical,60.0,Ion Drive,Corvette
7315914029,Critical,40.0,Plasma Thruster,Corvette
7315903985,Pristine,,Graviton Beam,Explorer
7315892725,Operational,40.0,Nuclear Pulse,Shuttle
7315883471,Operational,180.0,Ion Drive,Explorer
7315873690,Pristine,60.0,Ion Drive,Shuttle
7315862871,Critical,60.0,Plasma Thruster,Corvette
7315861135,Operational,80.0,Solar Sail,Troop Transport
7315847287,Critical,60.0,Ion Drive,Corvette
7315842139,Critical,180.0,Ion Drive,Corvette
7315832990,Operational,40.0,,Shuttle
